StackExchange,Size,Number of XMLs
sharepoint.stackexchange.com.7z,149.5M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
sitecore.meta.stackexchange.com.7z,433.1K,1,Badges.xml
sitecore.stackexchange.com.7z,21.2M,2,Badges.xml,Posts.xml
skeptics.meta.stackexchange.com.7z,6.0M,1,Badges.xml
skeptics.stackexchange.com.7z,64.8M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
softwareengineering.meta.stackexchange.com.7z,14.0M,1,Badges.xml
softwareengineering.stackexchange.com.7z,291.1M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
softwarerecs.meta.stackexchange.com.7z,2.6M,1,Badges.xml
softwarerecs.stackexchange.com.7z,41.4M,3,Badges.xml,PostHistory.xml,Posts.xml
sound.meta.stackexchange.com.7z,468.1K,1,Badges.xml
sound.stackexchange.com.7z,23.0M,2,Badges.xml,Votes.xml
space.meta.stackexchange.com.7z,2.4M,1,Badges.xml
space.stackexchange.com.7z,60.0M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
spanish.meta.stackexchange.com.7z,2.0M,1,Badges.xml
spanish.stackexchange.com.7z,28.8M,2,Badges.xml,Posts.xml
sports.meta.stackexchange.com.7z,1.1M,1,Badges.xml
sports.stackexchange.com.7z,13.9M,1,Badges.xml
sqa.meta.stackexchange.com.7z,557.3K,1,Badges.xml
sqa.stackexchange.com.7z,31.6M,2,Badges.xml,Posts.xml
stackapps.com.7z,13.0M,1,Badges.xml
stackoverflow.com-Badges.7z,296.4M,0,Badges.xml
stackoverflow.com-Comments.7z,4.8G,0,Comments.xml
stackoverflow.com-PostHistory.7z,29.7G,0,PostHistory.xml
stackoverflow.com-PostLinks.7z,103.3M,0,PostLinks.xml
stackoverflow.com-Posts.7z,16.9G,0,Posts.xml
stackoverflow.com-Tags.7z,867.3K,0,Tags.xml
stackoverflow.com-Users.7z,777.9M,0,Users.xml
stackoverflow.com-Votes.7z,1.3G,0,Votes.xml
stats.meta.stackexchange.com.7z,8.1M,1,Badges.xml
stats.stackexchange.com.7z,452.5M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
stellar.meta.stackexchange.com.7z,88.9K,1,Badges.xml
stellar.stackexchange.com.7z,2.4M,1,Badges.xml
superuser.com.7z,1014.3M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
sustainability.meta.stackexchange.com.7z,557.9K,1,Badges.xml
sustainability.stackexchange.com.7z,7.6M,1,Badges.xml
tex.meta.stackexchange.com.7z,10.9M,1,Badges.xml
tex.stackexchange.com.7z,633.3M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
tezos.meta.stackexchange.com.7z,71.6K,1,Badges.xml
tezos.stackexchange.com.7z,2.5M,1,Badges.xml
tor.meta.stackexchange.com.7z,318.4K,1,Badges.xml
tor.stackexchange.com.7z,10.4M,1,Badges.xml
travel.meta.stackexchange.com.7z,5.4M,1,Badges.xml
travel.stackexchange.com.7z,119.5M,6,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
tridion.meta.stackexchange.com.7z,443.6K,1,Badges.xml
tridion.stackexchange.com.7z,14.9M,1,Badges.xml
ukrainian.meta.stackexchange.com.7z,570.1K,1,Badges.xml
ukrainian.stackexchange.com.7z,7.0M,1,Badges.xml
unix.meta.stackexchange.com.7z,6.9M,1,Badges.xml
unix.stackexchange.com.7z,551.4M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
ux.meta.stackexchange.com.7z,2.6M,1,Badges.xml
ux.stackexchange.com.7z,98.8M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
vegetarianism.meta.stackexchange.com.7z,394.5K,1,Badges.xml
vegetarianism.stackexchange.com.7z,2.6M,1,Badges.xml
vi.meta.stackexchange.com.7z,712.7K,1,Badges.xml
vi.stackexchange.com.7z,25.5M,2,Badges.xml,Posts.xml
webapps.meta.stackexchange.com.7z,2.5M,1,Badges.xml
webapps.stackexchange.com.7z,63.5M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Users.xml,Votes.xml
webmasters.meta.stackexchange.com.7z,1.7M,1,Badges.xml
webmasters.stackexchange.com.7z,76.4M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
windowsphone.meta.stackexchange.com.7z,346.6K,1,Badges.xml
windowsphone.stackexchange.com.7z,5.5M,1,Badges.xml
woodworking.meta.stackexchange.com.7z,351.0K,1,Badges.xml
woodworking.stackexchange.com.7z,10.7M,1,Badges.xml
wordpress.meta.stackexchange.com.7z,3.2M,1,Badges.xml
wordpress.stackexchange.com.7z,211.3M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
