,LHS,RHS,support,confidence,coverage,lift,count
221,{obscurity},{devtas},0.0047647597109589475,0.4136986301369863,0.01151746552649017,9.27194009029083,151
222,{devtas},{obscurity},0.0047647597109589475,0.10678925035360678,0.044618345902622196,9.27194009029083,151
223,{obscurity},{kumarila-bhatta},0.0011990786027578808,0.10410958904109589,0.01151746552649017,1.9935570914207674,38
224,{kumarila-bhatta},{obscurity},0.0011990786027578808,0.022960725075528703,0.052223028620112966,1.9935570914207674,38
225,{non-attachment},{title},0.0047332050108863715,0.4672897196261682,0.010129058723296835,38.46461949265687,150
226,{title},{non-attachment},0.0047332050108863715,0.38961038961038963,0.012148559527941687,38.46461949265687,150
227,{non-attachment},{kalki},0.0013568521031207597,0.13395638629283488,0.010129058723296835,7.146821276104765,43
228,{kalki},{non-attachment},0.0013568521031207597,0.0723905723905724,0.018743491843110027,7.146821276104765,43
229,{non-attachment},{exaltation},0.0024297119055883376,0.2398753894080997,0.010129058723296835,7.051846906987094,77
230,{exaltation},{non-attachment},0.0024297119055883376,0.07142857142857142,0.034015966678236725,7.051846906987093,77
231,{teaching},{prisoners},0.0037865640087090973,0.31007751937984496,0.012211668928086838,22.18209179834462,120
232,{prisoners},{teaching},0.0037865640087090973,0.2708803611738149,0.013978732132151082,22.182091798344622,120
233,{teaching},{nimbarkacharya},0.0022088290050803067,0.18087855297157623,0.012211668928086838,10.856481481481483,70
234,{nimbarkacharya},{teaching},0.0022088290050803067,0.13257575757575757,0.016660881638320028,10.856481481481481,70
235,{yaska},{kumarila-bhatta},0.001640844403773942,0.12121212121212122,0.013536966331135021,2.321047331319235,52
236,{kumarila-bhatta},{yaska},0.001640844403773942,0.03141993957703928,0.05222302862011296,2.321047331319235,52
237,{chakras},{yoga-vashishtha},0.0010097504023224258,0.08311688311688312,0.012148559527941685,3.06999666999667,32
238,{yoga-vashishtha},{chakras},0.0010097504023224258,0.037296037296037296,0.027073932662270043,3.0699966699966703,32
239,{chakras},{priests},0.0020826102047900035,0.17142857142857143,0.012148559527941687,4.150300120048019,66
240,{priests},{chakras},0.0020826102047900035,0.05042016806722689,0.041305102395001736,4.150300120048019,66
241,{chakras},{kumarila-bhatta},0.0017039538039190936,0.14025974025974025,0.012148559527941687,2.6857833405265428,54
242,{kumarila-bhatta},{chakras},0.0017039538039190936,0.03262839879154079,0.05222302862011296,2.685783340526543,54
243,{chiranjivi},{vanaras},0.008078003218579407,0.6228710462287105,0.012968981729828657,23.839862712601526,256
244,{vanaras},{chiranjivi},0.008078003218579407,0.30917874396135264,0.02612729166009277,23.839862712601526,256
245,{chiranjivi},{yoga-vashishtha},0.001640844403773942,0.12652068126520682,0.012968981729828657,4.67315490673155,52
246,{yoga-vashishtha},{chiranjivi},0.001640844403773942,0.06060606060606061,0.027073932662270043,4.67315490673155,52
247,{chiranjivi},{exaltation},0.0016092897037013664,0.12408759124087591,0.012968981729828659,3.6479219424996274,51
248,{exaltation},{chiranjivi},0.0016092897037013664,0.04730983302411874,0.034015966678236725,3.647921942499628,51
249,{chiranjivi},{kumarila-bhatta},0.0011990786027578808,0.09245742092457421,0.012968981729828659,1.7704339133055476,38
250,{kumarila-bhatta},{chiranjivi},0.0011990786027578808,0.022960725075528703,0.052223028620112966,1.7704339133055476,38
251,{mukti},{kali},0.0010097504023224258,0.07032967032967033,0.014357388533021992,3.371887416668052,32
252,{kali},{mukti},0.0010097504023224258,0.048411497730711045,0.020857656747972606,3.371887416668052,32
253,{mukti},{kumarila-bhatta},0.0022088290050803067,0.15384615384615385,0.014357388533021993,2.9459446897513364,70
254,{kumarila-bhatta},{mukti},0.0022088290050803067,0.04229607250755287,0.052223028620112966,2.9459446897513364,70
255,{title},{kalki},0.0011990786027578808,0.0987012987012987,0.012148559527941687,5.265897065897066,38
256,{kalki},{title},0.0011990786027578808,0.06397306397306397,0.01874349184311003,5.265897065897066,38
257,{title},{exaltation},0.003534126408128491,0.2909090909090909,0.012148559527941688,8.552133580705009,112
258,{exaltation},{title},0.003534126408128491,0.1038961038961039,0.034015966678236725,8.55213358070501,112
259,{brahmanas},{lalita-sahasranama},0.0015146256034836388,0.096,0.015777350036287906,2.6478120104438645,48
260,{lalita-sahasranama},{brahmanas},0.0015146256034836388,0.04177545691906005,0.036256350383389604,2.6478120104438645,48
